affiliate_id,매장명,메뉴코드,카테고리명,메뉴명,가격
pokeallday_eg,포케올데이_시흥은계점,"1,295,195",#NAME?,메인토핑추가,"2,000"
pokeallday_eg,포케올데이_시흥은계점,"1,295,196",#NAME?,아보카도추가,"2,000"
pokeallday_eg,포케올데이_시흥은계점,"1,295,197",#NAME?,또띠아빵추가,"1,500"
pokeallday_eg,포케올데이_시흥은계점,"1,295,198",#NAME?,현미밥추가,"1,000"
pokeallday_eg,포케올데이_시흥은계점,"1,295,199",#NAME?,메밀면추가,"1,000"
pokeallday_eg,포케올데이_시흥은계점,"1,295,200",#NAME?,캔들판매,"12,900"
pokeallday_eg,포케올데이_시흥은계점,"1,295,201",#NAME?,멤버쉽 가입,"20,000"
pokeallday_eg,포케올데이_시흥은계점,"1,295,202",#NAME?,정기구독 10+1,"109,000"
pokeallday_eg,포케올데이_시흥은계점,"1,295,203",#NAME?,정기구독 15+2,"163,500"
pokeallday_eg,포케올데이_시흥은계점,"1,295,204",#NAME?,텀블러,"10,900"
pokeallday_eg,포케올데이_시흥은계점,"1,295,205",Poke 포케,현미밥 포케,"10,900"
pokeallday_eg,포케올데이_시흥은계점,"1,295,206",Poke 포케,메밀면 포케,"10,900"
pokeallday_eg,포케올데이_시흥은계점,"1,295,207",Poke 포케,채소만 포케,"10,900"
pokeallday_eg,포케올데이_시흥은계점,"1,295,208",Set 세트,커피 세트,"13,500"
pokeallday_eg,포케올데이_시흥은계점,"1,295,209",Set 세트,티 세트,"14,000"
pokeallday_eg,포케올데이_시흥은계점,"1,295,210",대표메뉴,곤약 냉우동,"10,900"
pokeallday_eg,포케올데이_시흥은계점,"1,295,211",Set 세트,나홀로 하와이 세트,"17,400"
pokeallday_eg,포케올데이_시흥은계점,"1,295,212",Set 세트,둘이서 하와이 세트,"31,500"
pokeallday_eg,포케올데이_시흥은계점,"1,295,213",Set 세트,나홀로 포케+미니곤약냉우동 세트,"14,500"
pokeallday_eg,포케올데이_시흥은계점,"1,295,214",Wrap 랩,미트랩,"6,900"
pokeallday_eg,포케올데이_시흥은계점,"1,295,215",Wrap 랩,씨랩,"7,900"
pokeallday_eg,포케올데이_시흥은계점,"1,295,216",두부볼,두부볼 2개,"5,000"
pokeallday_eg,포케올데이_시흥은계점,"1,295,217",Soup 수프,단호박 크림수프,"4,000"
pokeallday_eg,포케올데이_시흥은계점,"1,295,218",배달비,배달비 100,100
pokeallday_eg,포케올데이_시흥은계점,"1,295,219",배달비,배달비 500,500
pokeallday_eg,포케올데이_시흥은계점,"1,295,220",배달비,배달비 1000,"1,000"
pokeallday_eg,포케올데이_시흥은계점,"1,295,221",배달비,배달비 5000,"5,000"
pokeallday_eg,포케올데이_시흥은계점,"1,295,222",Drink 음료,콤부차,"4,000"
pokeallday_eg,포케올데이_시흥은계점,"1,295,223",Drink 음료,착즙주스(케일사과),"4,000"
pokeallday_eg,포케올데이_시흥은계점,"1,295,224",Drink 음료,착즙주스(당근사과),"4,000"
pokeallday_eg,포케올데이_시흥은계점,"1,295,225",Drink 음료,수제딸기우유,"4,000"
pokeallday_eg,포케올데이_시흥은계점,"1,295,226",Drink 음료,수제블루베리우유,"4,000"
pokeallday_eg,포케올데이_시흥은계점,"1,295,227",Drink 음료,콜드브루 커피,"3,500"
pokeallday_eg,포케올데이_시흥은계점,"1,295,228",Drink 음료,티(Tea),"4,000"
pokeallday_eg,포케올데이_시흥은계점,"1,295,229",Drink 음료,제로콜라,"2,000"
pokeallday_eg,포케올데이_시흥은계점,"1,295,230",Drink 음료,제로 사이다,"2,000"
pokeallday_eg,포케올데이_시흥은계점,"1,295,231",Drink 음료,탄산수,"2,000"
pokeallday_eg,포케올데이_시흥은계점,"1,295,232",여름메뉴,ABC 슬러쉬,"4,900"
pokeallday_eg,포케올데이_시흥은계점,"1,295,233",포장여부,매장,0
pokeallday_eg,포케올데이_시흥은계점,"1,295,234",포장여부,포장,0
pokeallday_eg,포케올데이_시흥은계점,"1,295,235",대표메뉴,베지누들,"9,000"
pokeallday_eg,포케올데이_시흥은계점,"1,295,236",계절메뉴,베지누들,"9,000"
pokeallday_eg,포케올데이_시흥은계점,"1,295,237",배달비,배달비 4500,"4,500"
pokeallday_eg,포케올데이_시흥은계점,"1,295,238",정기구독,10+1,"109,000"
pokeallday_eg,포케올데이_시흥은계점,"1,295,239",정기구독,15+2,"163,500"
pokeallday_eg,포케올데이_시흥은계점,"1,295,570",대표메뉴,나홀로 하와이 세트,"17,400"
pokeallday_eg,포케올데이_시흥은계점,"1,295,571",대표메뉴,둘이서 하와이 세트,"31,500"
pokeallday_eg,포케올데이_시흥은계점,"1,295,572",대표메뉴,커피 세트,"13,500"
pokeallday_eg,포케올데이_시흥은계점,"1,295,573",대표메뉴,티 세트,"14,000"
pokeallday_eg,포케올데이_시흥은계점,"1,296,190",대표메뉴,현미밥 포케,"10,900"
pokeallday_eg,포케올데이_시흥은계점,"1,296,191",대표메뉴,메밀면 포케,"10,900"
pokeallday_eg,포케올데이_시흥은계점,"1,296,192",대표메뉴,채소만 포케,"10,900"
bebeco_ar,배배꼬_세종아름점,"1,297,742",배배꼬 세트,파티초 (1개),500
bebeco_ar,배배꼬_세종아름점,"1,298,088",배배꼬 세트,숫자초 (1개),500
bebeco_ar,배배꼬_세종아름점,"1,312,941",크림도넛,크림도넛 1개 포장박스,300
bebeco_ar,배배꼬_세종아름점,"1,312,953",배배꼬 세트,크림도넛 1개 포장박스,300
bebeco_ar,배배꼬_세종아름점,"1,323,285",음료,스트로베리 에이드,"4,800"
bebeco_ar,배배꼬_세종아름점,"1,331,698",크림도넛,어진동 배송비,"4,000"
bebeco_ar,배배꼬_세종아름점,"1,341,539",크림도넛,배달료,"3,500"
pokeallday_eg,포케올데이_시흥은계점,"1,352,028",배달비,배달비 3000,"3,000"
pokeallday_eg,포케올데이_시흥은계점,"1,352,029",배달비, ,1
pokeallday_eg,포케올데이_시흥은계점,"1,362,600",#NAME?,메인토핑추가금,"1,000"
pokeallday_eg,포케올데이_시흥은계점,"1,362,601",#NAME?,메인토핑추가,"3,000"
pokeallday_eg,포케올데이_시흥은계점,"1,362,602",#NAME?,소스추가,700
bebeco_swg,배배꼬_수원금곡점,"1,364,407",베이커리,生우유 쿠키슈,"4,500"
bebeco_swg,배배꼬_수원금곡점,"1,364,408",베이커리,生우유 크로와상,"3,300"
bebeco_ar,배배꼬_세종아름점,"1,385,525",시그니처 메뉴,배배꼬 치즈슈페너,"5,500"
bebeco_ar,배배꼬_세종아름점,"1,385,526",시그니처 메뉴,우유퐁당도넛,"3,500"
bebeco_ar,배배꼬_세종아름점,"1,385,527",시그니처 메뉴,커스터드바닐라크림도넛,"3,500"
bebeco_ar,배배꼬_세종아름점,"1,385,528",시그니처 메뉴,핑크솔트우유크림도넛,"3,700"
bebeco_ar,배배꼬_세종아름점,"1,385,529",시그니처 메뉴,얼그레이크림도넛,"3,700"
bebeco_ar,배배꼬_세종아름점,"1,385,530",시그니처 메뉴,우유딸기크림도넛,"3,900"
bebeco_ar,배배꼬_세종아름점,"1,385,531",시그니처 메뉴,로얄프리미엄 밀크티,"4,800"
bebeco_ar,배배꼬_세종아름점,"1,385,532",시그니처 메뉴,핑크선셋 베리티,"5,200"
bebeco_ar,배배꼬_세종아름점,"1,385,533",배배꼬 세트,시그니처 크림박스 SET(4개),"14,500"
bebeco_ar,배배꼬_세종아름점,"1,385,534",배배꼬 세트,배배꼬 인기 SET(6개),"22,500"
bebeco_ar,배배꼬_세종아름점,"1,385,535",배배꼬 세트,배배꼬 추천 SET(4개),"15,300"
bebeco_ar,배배꼬_세종아름점,"1,385,536",크림도넛,시그니처 크림박스 SET (4개),"14,500"
bebeco_ar,배배꼬_세종아름점,"1,385,537",크림도넛,배배꼬 인기 SET (6개),"22,500"
bebeco_ar,배배꼬_세종아름점,"1,385,538",크림도넛,배배꼬 추천 SET (4개),"15,300"
bebeco_ar,배배꼬_세종아름점,"1,385,539",크림도넛,박스포장 (4개~6개),500
bebeco_ar,배배꼬_세종아름점,"1,385,540",크림도넛,우유퐁당 도넛,"3,500"
bebeco_ar,배배꼬_세종아름점,"1,385,541",크림도넛,커스터드바닐라크림 도넛,"3,500"
bebeco_ar,배배꼬_세종아름점,"1,385,542",크림도넛,핑크솔트우유크림 도넛,"3,700"
bebeco_ar,배배꼬_세종아름점,"1,385,543",크림도넛,더블딥초코우유 도넛,"3,700"
bebeco_ar,배배꼬_세종아름점,"1,385,544",크림도넛,말차크림 도넛,"3,700"
bebeco_ar,배배꼬_세종아름점,"1,385,545",크림도넛,인절미크림 도넛,"3,700"
bebeco_ar,배배꼬_세종아름점,"1,385,546",크림도넛,얼그레이크림 도넛,"3,700"
bebeco_ar,배배꼬_세종아름점,"1,385,547",크림도넛,누텔라크림 도넛,"3,900"
bebeco_ar,배배꼬_세종아름점,"1,385,548",크림도넛,레몬유자크림 도넛,"3,900"
bebeco_ar,배배꼬_세종아름점,"1,385,549",크림도넛,우유딸기크림 도넛,"3,900"
bebeco_ar,배배꼬_세종아름점,"1,385,550",크림도넛,흑임자크림 도넛,"4,200"
bebeco_ar,배배꼬_세종아름점,"1,385,551",크림도넛,공주바밤바크림 도넛,"3,900"
bebeco_ar,배배꼬_세종아름점,"1,385,552",크림도넛,초당옥쑤크림 도넛,"3,900"
bebeco_ar,배배꼬_세종아름점,"1,385,553",크림도넛,레드벨벳크림 도넛,"3,900"
bebeco_ar,배배꼬_세종아름점,"1,385,554",크림도넛,피치요거트크림 도넛,"4,200"
bebeco_ar,배배꼬_세종아름점,"1,385,555",크림도넛,보냉팩 추가,700
bebeco_ar,배배꼬_세종아름점,"1,385,556",베이커리,바닐라 커스터드 쿠키슈,"4,500"
bebeco_ar,배배꼬_세종아름점,"1,385,557",베이커리,딥초코 커스터드 쿠키슈,"4,500"
bebeco_ar,배배꼬_세종아름점,"1,385,558",베이커리,라즈베리 커스터드 쿠키슈,"4,800"
bebeco_ar,배배꼬_세종아름점,"1,385,559",베이커리,생크림 스콘,"3,800"
bebeco_ar,배배꼬_세종아름점,"1,385,560",베이커리,얼그레이 스콘,"3,800"
bebeco_ar,배배꼬_세종아름점,"1,385,561",베이커리,콰트로치즈 스콘,"4,200"
bebeco_ar,배배꼬_세종아름점,"1,385,562",베이커리,生커스터드 크림브뤨레,"4,500"
bebeco_ar,배배꼬_세종아름점,"1,385,563",베이커리,불고기칠리 페스츄리,"3,800"
bebeco_ar,배배꼬_세종아름점,"1,385,564",베이커리,청양마요 페스츄리,"3,800"
bebeco_ar,배배꼬_세종아름점,"1,385,565",베이커리,애플시나몬 파이,"3,800"
bebeco_ar,배배꼬_세종아름점,"1,385,566",베이커리,블루베리 파이,"3,800"
bebeco_ar,배배꼬_세종아름점,"1,385,567",베이커리,스트로베리 파이,"3,800"
bebeco_ar,배배꼬_세종아름점,"1,385,568",베이커리,生우유 크러핀,"3,900"
bebeco_ar,배배꼬_세종아름점,"1,385,569",베이커리,플레인 크러핀,"2,900"
bebeco_ar,배배꼬_세종아름점,"1,385,570",베이커리,박스포장 (4개),500
bebeco_ar,배배꼬_세종아름점,"1,385,571",COFFEE,펄그레이라떼,"4,500"
bebeco_ar,배배꼬_세종아름점,"1,385,572",COFFEE,배배꼬치즈슈페너,"5,500"
bebeco_ar,배배꼬_세종아름점,"1,385,573",COFFEE,스페셜티 아메리카노,"3,500"
bebeco_ar,배배꼬_세종아름점,"1,385,574",COFFEE,디카페인 아메리카노,"3,800"
bebeco_ar,배배꼬_세종아름점,"1,385,575",COFFEE,헤이즐넛 아메리카노,"3,800"
bebeco_ar,배배꼬_세종아름점,"1,385,576",COFFEE,카페라떼,"4,200"
bebeco_ar,배배꼬_세종아름점,"1,385,577",COFFEE,피넛버터라떼,"4,500"
bebeco_ar,배배꼬_세종아름점,"1,385,578",COFFEE,공주바밤바라떼,"4,500"
bebeco_ar,배배꼬_세종아름점,"1,385,579",COFFEE,바닐라라떼,"4,500"
bebeco_ar,배배꼬_세종아름점,"1,385,580",COFFEE,연유라떼,"4,500"
bebeco_ar,배배꼬_세종아름점,"1,385,581",COFFEE,오트밀 카페라떼,"5,500"
bebeco_ar,배배꼬_세종아름점,"1,385,582",COFFEE,오트밀 바닐라라떼,"5,800"
bebeco_ar,배배꼬_세종아름점,"1,385,583",COFFEE,오트밀 연유라떼,"5,800"
bebeco_ar,배배꼬_세종아름점,"1,385,584",NON COFFEE,초당옥쑤라떼,"4,500"
bebeco_ar,배배꼬_세종아름점,"1,385,585",NON COFFEE,로얄 프리미엄 밀크티,"4,800"
bebeco_ar,배배꼬_세종아름점,"1,385,586",NON COFFEE,딥더블초콜릿라떼,"4,500"
bebeco_ar,배배꼬_세종아름점,"1,385,587",NON COFFEE,제주말차라떼,"4,500"
bebeco_ar,배배꼬_세종아름점,"1,385,588",NON COFFEE,수제프리미엄 딸기우유,"5,800"
bebeco_ar,배배꼬_세종아름점,"1,385,589",음료,오로라 에이드,"4,800"
bebeco_ar,배배꼬_세종아름점,"1,385,590",음료,핑크 선셋 베리티,"5,200"
bebeco_ar,배배꼬_세종아름점,"1,385,591",음료,옐로우 캐모마일티,"4,800"
bebeco_ar,배배꼬_세종아름점,"1,385,592",음료,리얼 복숭아 아이스티,"3,800"
bebeco_ar,배배꼬_세종아름점,"1,385,593",음료,리얼 망고 아이스티,"3,800"
bebeco_ar,배배꼬_세종아름점,"1,385,594",음료,리얼 청포도 아이스티,"3,800"
bebeco_ar,배배꼬_세종아름점,"1,385,595",음료,오렌지자몽 에이드,"5,200"
bebeco_ar,배배꼬_세종아름점,"1,385,596",음료,패션후르츠 에이드,"5,200"
bebeco_ar,배배꼬_세종아름점,"1,385,597",음료,히비스커스체리 에이드,"4,800"
bebeco_ar,배배꼬_세종아름점,"1,385,598",음료,청포도 에이드,"4,800"
bebeco_ar,배배꼬_세종아름점,"1,385,599",음료,플레인 요거트스무디,"5,200"
bebeco_ar,배배꼬_세종아름점,"1,385,600",음료,딸기 요거트스무디,"5,800"
bebeco_ar,배배꼬_세종아름점,"1,385,601",음료,망고 요거트스무디,"5,800"
bebeco_ar,배배꼬_세종아름점,"1,385,602",음료,블루베리 요거트스무디,"5,800"
bebeco_ar,배배꼬_세종아름점,"1,385,603",음료,화이트 뱅쇼,"4,500"
bebeco_ar,배배꼬_세종아름점,"1,385,604",음료,레드 뱅쇼,"4,500"
bebeco_ar,배배꼬_세종아름점,"1,385,605",음료,스파클링 뱅쇼,"4,800"
bebeco_ar,배배꼬_세종아름점,"1,449,696",시그니처 메뉴,배배꼬 치즈슈페너,"5,500"
bebeco_ar,배배꼬_세종아름점,"1,449,697",시그니처 메뉴,生우유 카스테라 도넛,"4,000"
bebeco_ar,배배꼬_세종아름점,"1,449,698",시그니처 메뉴,딥초코 카스테라 도넛,"4,200"
bebeco_ar,배배꼬_세종아름점,"1,449,699",시그니처 메뉴,우유딸기 카스테라 도넛,"4,200"
bebeco_ar,배배꼬_세종아름점,"1,449,700",시그니처 메뉴,우유퐁당도넛,"3,500"
bebeco_ar,배배꼬_세종아름점,"1,449,701",시그니처 메뉴,커스터드바닐라크림도넛,"3,500"
bebeco_ar,배배꼬_세종아름점,"1,449,702",시그니처 메뉴,로얄프리미엄 밀크티,"4,800"
bebeco_ar,배배꼬_세종아름점,"1,449,703",시그니처 메뉴,핑크선셋 베리티,"5,200"
bebeco_ar,배배꼬_세종아름점,"1,449,704",배배꼬 세트,카스테라 퐁당 SET (4개),"15,700"
bebeco_ar,배배꼬_세종아름점,"1,449,705",배배꼬 세트,시그니처 크림박스 SET(4개),"14,500"
bebeco_ar,배배꼬_세종아름점,"1,449,706",배배꼬 세트,배배꼬 인기 SET(6개),"22,500"
bebeco_ar,배배꼬_세종아름점,"1,449,707",배배꼬 세트,배배꼬 추천 SET(4개),"15,300"
bebeco_ar,배배꼬_세종아름점,"1,449,708",크림도넛,카스테라 퐁당 SET(4개),"15,700"
bebeco_ar,배배꼬_세종아름점,"1,449,709",크림도넛,시그니처 크림박스 SET (4개),"14,500"
bebeco_ar,배배꼬_세종아름점,"1,449,710",크림도넛,배배꼬 인기 SET (6개),"22,500"
bebeco_ar,배배꼬_세종아름점,"1,449,711",크림도넛,배배꼬 추천 SET (4개),"15,300"
bebeco_ar,배배꼬_세종아름점,"1,449,712",크림도넛,박스포장 (4개~6개),500
bebeco_ar,배배꼬_세종아름점,"1,449,713",크림도넛,비닐포장,100
bebeco_ar,배배꼬_세종아름점,"1,449,714",크림도넛,生우유카스테라 도넛,"4,000"
bebeco_ar,배배꼬_세종아름점,"1,449,715",크림도넛,딥초코카스테라 도넛,"4,200"
bebeco_ar,배배꼬_세종아름점,"1,449,716",크림도넛,우유딸기카스테라 도넛,"4,200"
bebeco_ar,배배꼬_세종아름점,"1,449,717",크림도넛,우유퐁당 도넛,"3,500"
bebeco_ar,배배꼬_세종아름점,"1,449,718",크림도넛,커스터드바닐라크림 도넛,"3,500"
bebeco_ar,배배꼬_세종아름점,"1,449,719",크림도넛,핑크솔트우유크림 도넛,"3,700"
bebeco_ar,배배꼬_세종아름점,"1,449,720",크림도넛,더블딥초코우유 도넛,"3,700"
bebeco_ar,배배꼬_세종아름점,"1,449,721",크림도넛,말차크림 도넛,"3,700"
bebeco_ar,배배꼬_세종아름점,"1,449,722",크림도넛,인절미크림 도넛,"3,700"
bebeco_ar,배배꼬_세종아름점,"1,449,723",크림도넛,얼그레이크림 도넛,"3,700"
bebeco_ar,배배꼬_세종아름점,"1,449,724",크림도넛,누텔라크림 도넛,"3,900"
bebeco_ar,배배꼬_세종아름점,"1,449,725",크림도넛,레몬유자크림 도넛,"3,900"
bebeco_ar,배배꼬_세종아름점,"1,449,726",크림도넛,우유딸기크림 도넛,"3,900"
bebeco_ar,배배꼬_세종아름점,"1,449,727",크림도넛,흑임자크림 도넛,"4,200"
bebeco_ar,배배꼬_세종아름점,"1,449,728",크림도넛,공주바밤바크림 도넛,"3,900"
bebeco_ar,배배꼬_세종아름점,"1,449,729",크림도넛,초당옥쑤크림 도넛,"3,900"
bebeco_ar,배배꼬_세종아름점,"1,449,730",크림도넛,피치요거트크림 도넛,"4,200"
bebeco_ar,배배꼬_세종아름점,"1,449,731",크림도넛,보냉팩 추가,700
bebeco_ar,배배꼬_세종아름점,"1,449,732",베이커리,비닐 포장,100
bebeco_ar,배배꼬_세종아름점,"1,449,733",베이커리,바닐라 커스터드 쿠키슈,"4,500"
bebeco_ar,배배꼬_세종아름점,"1,449,734",베이커리,딥초코 쿠키슈,"4,500"
bebeco_ar,배배꼬_세종아름점,"1,449,735",베이커리,생크림 스콘,"3,800"
bebeco_ar,배배꼬_세종아름점,"1,449,736",베이커리,얼그레이 스콘,"3,800"
bebeco_ar,배배꼬_세종아름점,"1,449,737",COFFEE,펄그레이라떼,"4,500"
bebeco_ar,배배꼬_세종아름점,"1,449,738",COFFEE,배배꼬치즈슈페너,"5,500"
bebeco_ar,배배꼬_세종아름점,"1,449,739",COFFEE,스페셜티 아메리카노,"3,500"
bebeco_ar,배배꼬_세종아름점,"1,449,740",COFFEE,디카페인 아메리카노,"5,000"
bebeco_ar,배배꼬_세종아름점,"1,449,741",COFFEE,헤이즐넛 아메리카노,"3,800"
bebeco_ar,배배꼬_세종아름점,"1,449,742",COFFEE,카페라떼,"4,200"
bebeco_ar,배배꼬_세종아름점,"1,449,743",COFFEE,피넛버터라떼,"4,500"
bebeco_ar,배배꼬_세종아름점,"1,449,744",COFFEE,공주바밤바라떼,"4,500"
bebeco_ar,배배꼬_세종아름점,"1,449,745",COFFEE,바닐라라떼,"4,500"
bebeco_ar,배배꼬_세종아름점,"1,449,746",COFFEE,연유라떼,"4,500"
bebeco_ar,배배꼬_세종아름점,"1,449,747",COFFEE,오트밀 카페라떼,"5,500"
bebeco_ar,배배꼬_세종아름점,"1,449,748",COFFEE,오트밀 바닐라라떼,"5,800"
bebeco_ar,배배꼬_세종아름점,"1,449,749",COFFEE,오트밀 연유라떼,"5,800"
bebeco_ar,배배꼬_세종아름점,"1,449,750",NON COFFEE,초당옥쑤라떼,"4,500"
bebeco_ar,배배꼬_세종아름점,"1,449,751",NON COFFEE,로얄 프리미엄 밀크티,"4,800"
bebeco_ar,배배꼬_세종아름점,"1,449,752",NON COFFEE,딥더블초콜릿라떼,"4,500"
bebeco_ar,배배꼬_세종아름점,"1,449,753",NON COFFEE,제주말차라떼,"4,500"
bebeco_ar,배배꼬_세종아름점,"1,449,754",NON COFFEE,수제프리미엄 딸기우유,"5,800"
bebeco_ar,배배꼬_세종아름점,"1,449,755",음료,오로라 에이드,"4,800"
bebeco_ar,배배꼬_세종아름점,"1,449,756",음료,핑크 선셋 베리티,"5,200"
bebeco_ar,배배꼬_세종아름점,"1,449,757",음료,옐로우 캐모마일티,"4,800"
bebeco_ar,배배꼬_세종아름점,"1,449,758",음료,리얼 복숭아 아이스티,"3,800"
bebeco_ar,배배꼬_세종아름점,"1,449,759",음료,리얼 망고 아이스티,"3,800"
bebeco_ar,배배꼬_세종아름점,"1,449,760",음료,리얼 청포도 아이스티,"3,800"
bebeco_ar,배배꼬_세종아름점,"1,449,761",음료,오렌지자몽 에이드,"5,200"
bebeco_ar,배배꼬_세종아름점,"1,449,762",음료,패션후르츠 에이드,"5,200"
bebeco_ar,배배꼬_세종아름점,"1,449,763",음료,히비스커스체리 에이드,"4,800"
bebeco_ar,배배꼬_세종아름점,"1,449,764",음료,청포도 에이드,"4,800"
bebeco_ar,배배꼬_세종아름점,"1,449,765",음료,플레인 요거트스무디,"5,200"
bebeco_ar,배배꼬_세종아름점,"1,449,766",음료,딸기 요거트스무디,"5,800"
bebeco_ar,배배꼬_세종아름점,"1,449,767",음료,망고 요거트스무디,"5,800"
bebeco_ar,배배꼬_세종아름점,"1,449,768",음료,블루베리 요거트스무디,"5,800"
bebeco_ar,배배꼬_세종아름점,"1,449,770",베이커리,보냉백추가,700
bebeco_ar,배배꼬_세종아름점,"1,449,878",크림도넛,기본배달료,"3,000"
bebeco_ar,배배꼬_세종아름점,"1,449,879",크림도넛,배달료,"3,500"
bebeco_ar,배배꼬_세종아름점,"1,449,880",크림도넛,배달료,"4,000"
bebeco_ar,배배꼬_세종아름점,"1,449,881",크림도넛,오늘의도넛,"2,900"
bebeco_ar,배배꼬_세종아름점,"1,449,882",크림도넛,오늘의도넛,"2,500"
bebeco_ar,배배꼬_세종아름점,"1,449,903",크림도넛,크림도넛,"4,950"
bebeco_ar,배배꼬_세종아름점,"1,450,144",음료,어린이 음료,"1,500"
bebeco_ar,배배꼬_세종아름점,"1,450,309",COFFEE,아.샷.추(아이스티+아메리카노),"4,000"
bebeco_ar,배배꼬_세종아름점,"1,450,374",음료,스파클링뱅쇼(Only Ice),"4,800"
pokeallday_eg,포케올데이_시흥은계점,"1,451,628",Drink 음료,꾸꼬논알콜맥주LAGER,"4,500"
pokeallday_eg,포케올데이_시흥은계점,"1,451,629",Drink 음료,꾸꼬논알콜맥주PILS,"4,500"
pokeallday_eg,포케올데이_시흥은계점,"1,451,630",대표메뉴,꾸꼬논알콜맥주,"4,500"
pokeallday_eg,포케올데이_시흥은계점,"1,451,631",대표메뉴,스무디볼,"7,800"
pokeallday_eg,포케올데이_시흥은계점,"1,451,632",스무디볼,"옐로우 스무디볼
바나나, 복숭아, 망고, 파인애플","7,800"
